Region,Technology,value
DE,SolarPV,149.99999999999997
FR,SolarPV,200.0
NO,SolarPV,25.000000000000004
DK,SolarPV,45.0
UK,SolarPV,90.00000000000001
DE,CoalMine,0.0
FR,CoalMine,0.0
NO,CoalMine,0.0
DK,CoalMine,0.0
UK,CoalMine,0.0
DE,GasExtractor,8.590632
FR,GasExtractor,0.0
NO,GasExtractor,0.0
DK,GasExtractor,0.0
UK,GasExtractor,0.0
DE,CoalPowerPlant,11.588675749616948
FR,CoalPowerPlant,28.837035523304092
NO,CoalPowerPlant,11.872501915555558
DK,CoalPowerPlant,0.4992572400000009
UK,CoalPowerPlant,0.0
DE,GasPowerPlant,0.0
FR,GasPowerPlant,0.0
NO,GasPowerPlant,0.0
DK,GasPowerPlant,0.0
UK,GasPowerPlant,9.340873414233469
DE,CoalCHPPlant,132.06
FR,CoalCHPPlant,15.660000000000004
NO,CoalCHPPlant,9.5
DK,CoalCHPPlant,1.659999999999995
UK,CoalCHPPlant,0.0
DE,GasCHPPlant,0.0
FR,GasCHPPlant,14.840000000000002
NO,GasCHPPlant,0.0
DK,GasCHPPlant,25.98
UK,GasCHPPlant,73.78
DE,Power2Gas,76.67551716906321
FR,Power2Gas,76.92724526488757
NO,Power2Gas,12.222346001111113
DK,Power2Gas,11.82079841590596
UK,Power2Gas,36.793271801406036
DE,H2Car,0.0
FR,H2Car,0.0
NO,H2Car,0.0
DK,H2Car,0.0
UK,H2Car,0.0
DE,BEV,0.0
FR,BEV,0.0
NO,BEV,0.0
DK,BEV,0.0
UK,BEV,0.0
DE,LPGCar,24.492000000000004
FR,LPGCar,20.409999999999997
NO,LPGCar,3.36765
DK,LPGCar,3.673800000000001
UK,LPGCar,18.368999999999996
DE,WindOnshore,100.0
FR,WindOnshore,130.0
NO,WindOnshore,40.0
DK,WindOnshore,60.0
UK,WindOnshore,140.0
DE,ElectricHeater,38.08000000000004
FR,ElectricHeater,14.000000000000004
NO,ElectricHeater,2.316698237327852
DK,ElectricHeater,14.213333333333338
UK,ElectricHeater,28.810676337807642
DE,WindOffshore,20.0
FR,WindOffshore,10.0
NO,WindOffshore,0.0
DK,WindOffshore,0.0
UK,WindOffshore,5.0
