Region,Hour,Technology,Fuel,value
DE,1,SolarPV,Power,0.0
FR,1,SolarPV,Power,0.0
NO,1,SolarPV,Power,0.0
DK,1,SolarPV,Power,0.0
UK,1,SolarPV,Power,0.0
DE,2,SolarPV,Power,0.0
FR,2,SolarPV,Power,0.0
NO,2,SolarPV,Power,0.0
DK,2,SolarPV,Power,0.0
UK,2,SolarPV,Power,0.0
DE,3,SolarPV,Power,0.0
FR,3,SolarPV,Power,0.0
NO,3,SolarPV,Power,0.0
DK,3,SolarPV,Power,0.0
UK,3,SolarPV,Power,0.0
DE,4,SolarPV,Power,1.8231581999999997
FR,4,SolarPV,Power,0.0
NO,4,SolarPV,Power,0.0
DK,4,SolarPV,Power,2.3345306100000003
UK,4,SolarPV,Power,0.0
DE,5,SolarPV,Power,13.562735399999998
FR,5,SolarPV,Power,24.782873
NO,5,SolarPV,Power,1.6696543500000003
DK,5,SolarPV,Power,6.39358398
UK,5,SolarPV,Power,0.0
DE,6,SolarPV,Power,25.807059749999993
FR,6,SolarPV,Power,31.848971399999996
NO,6,SolarPV,Power,2.4618225250000005
DK,6,SolarPV,Power,3.917712285
UK,6,SolarPV,Power,4.900998510000001
DE,7,SolarPV,Power,18.962203349999996
FR,7,SolarPV,Power,40.0640518
NO,7,SolarPV,Power,0.8988637750000001
DK,7,SolarPV,Power,2.163758985
UK,7,SolarPV,Power,4.3154577000000005
DE,8,SolarPV,Power,16.875387299999996
FR,8,SolarPV,Power,37.0218004
NO,8,SolarPV,Power,0.0
DK,8,SolarPV,Power,0.0
UK,8,SolarPV,Power,0.0
DE,9,SolarPV,Power,0.0
FR,9,SolarPV,Power,27.610460999999997
NO,9,SolarPV,Power,0.0
DK,9,SolarPV,Power,0.0
UK,9,SolarPV,Power,0.0
DE,10,SolarPV,Power,0.0
FR,10,SolarPV,Power,0.6008046
NO,10,SolarPV,Power,0.0
DK,10,SolarPV,Power,0.0
UK,10,SolarPV,Power,0.0
DE,11,SolarPV,Power,0.0
FR,11,SolarPV,Power,0.0
NO,11,SolarPV,Power,0.0
DK,11,SolarPV,Power,0.0
UK,11,SolarPV,Power,0.0
DE,12,SolarPV,Power,0.0
FR,12,SolarPV,Power,0.0
NO,12,SolarPV,Power,0.0
DK,12,SolarPV,Power,0.0
UK,12,SolarPV,Power,0.0
DE,13,SolarPV,Power,0.0
FR,13,SolarPV,Power,0.0
NO,13,SolarPV,Power,0.0
DK,13,SolarPV,Power,0.0
UK,13,SolarPV,Power,0.0
DE,14,SolarPV,Power,0.0
FR,14,SolarPV,Power,0.0
NO,14,SolarPV,Power,0.0
DK,14,SolarPV,Power,0.0
UK,14,SolarPV,Power,0.0
DE,15,SolarPV,Power,0.0
FR,15,SolarPV,Power,0.0
NO,15,SolarPV,Power,0.0
DK,15,SolarPV,Power,0.0
UK,15,SolarPV,Power,0.0
DE,16,SolarPV,Power,0.0
FR,16,SolarPV,Power,0.0
NO,16,SolarPV,Power,0.0
DK,16,SolarPV,Power,0.0
UK,16,SolarPV,Power,0.0
DE,17,SolarPV,Power,0.0
FR,17,SolarPV,Power,0.0
NO,17,SolarPV,Power,0.0
DK,17,SolarPV,Power,0.0
UK,17,SolarPV,Power,0.0
DE,18,SolarPV,Power,0.0
FR,18,SolarPV,Power,0.0
NO,18,SolarPV,Power,0.0
DK,18,SolarPV,Power,0.0
UK,18,SolarPV,Power,0.0
DE,19,SolarPV,Power,0.0
FR,19,SolarPV,Power,0.0
NO,19,SolarPV,Power,0.0
DK,19,SolarPV,Power,0.0
UK,19,SolarPV,Power,0.0
DE,20,SolarPV,Power,0.0
FR,20,SolarPV,Power,0.0
NO,20,SolarPV,Power,0.0
DK,20,SolarPV,Power,0.0
UK,20,SolarPV,Power,0.0
DE,21,SolarPV,Power,0.0
FR,21,SolarPV,Power,0.0
NO,21,SolarPV,Power,0.0
DK,21,SolarPV,Power,0.0
